Cases by Report Date,Antigen Positive Cases by Specimen Date,Antigen Test,Positive Test Percentage,Daily Tests Total,Deaths by Date of Death,Molecular (PCR) Positive Cases by Specimen Date,Date,Molecular Test
1,0.0,,,,,1.0,2020-03-02,
0,,,,,,,2020-03-03,
0,0.0,,,,,1.0,2020-03-04,
0,,,,,,,2020-03-05,
0,,,,,,,2020-03-06,
0,0.0,,,,,1.0,2020-03-07,
0,0.0,,,,,4.0,2020-03-08,
1,,,,,,,2020-03-09,
5,0.0,,,,,5.0,2020-03-10,
0,0.0,,,,,11.0,2020-03-11,
4,0.0,,,,1.0,15.0,2020-03-12,
4,0.0,,,,,57.0,2020-03-13,
8,0.0,,,,,9.0,2020-03-14,
9,0.0,,,,,14.0,2020-03-15,
1,0.0,,,936.0,,103.0,2020-03-16,
7,0.0,,,295.0,,109.0,2020-03-17,
22,0.0,,,205.0,,152.0,2020-03-18,
35,0.0,,,1696.0,,161.0,2020-03-19,
40,0.0,,,943.0,,164.0,2020-03-20,
47,0.0,,,2192.0,,76.0,2020-03-21,
71,0.0,,,1389.0,1.0,72.0,2020-03-22,
42,0.0,,,2163.0,,234.0,2020-03-23,
101,1.0,,,529.0,1.0,174.0,2020-03-24,
106,0.0,,,2446.0,1.0,199.0,2020-03-25,
132,0.0,,,2793.0,1.0,198.0,2020-03-26,
128,0.0,,,2667.0,1.0,167.0,2020-03-27,
171,0.0,,,2910.0,1.0,99.0,2020-03-28,
232,0.0,,,1638.0,4.0,75.0,2020-03-29,
140,0.0,,,2082.0,2.0,210.0,2020-03-30,
191,0.0,,,2787.0,3.0,212.0,2020-03-31,
86,0.0,,0.07529812606473595,3435.0,9.0,239.0,2020-04-01,
273,0.0,,0.06821282401091405,2883.0,3.0,222.0,2020-04-02,
236,0.0,,0.08082191780821918,3404.0,11.0,203.0,2020-04-03,
309,0.0,,0.08484623934790664,7629.0,11.0,115.0,2020-04-04,
183,0.0,,0.08192930294020483,1343.0,9.0,86.0,2020-04-05,
285,0.0,,0.0787704130643612,852.0,4.0,398.0,2020-04-06,
351,0.0,,0.12041625371655104,913.0,9.0,263.0,2020-04-07,
205,0.0,,0.09031936127744511,2431.0,9.0,284.0,2020-04-08,
225,0.0,,0.09169550173010381,5262.0,10.0,327.0,2020-04-09,
257,0.0,,0.08440215142738933,10211.0,7.0,317.0,2020-04-10,
404,0.0,,0.11273209549071618,2875.0,9.0,172.0,2020-04-11,
208,0.0,,0.16345062429057888,7999.0,18.0,112.0,2020-04-12,
296,0.0,,0.11203814064362336,1298.0,17.0,282.0,2020-04-13,
208,0.0,,0.11080835603996367,1968.0,16.0,284.0,2020-04-14,
99,1.0,,0.12762520193861066,3215.0,23.0,376.0,2020-04-15,
342,0.0,,0.15955056179775282,3576.0,26.0,541.0,2020-04-16,
394,0.0,,0.1184984170058797,2472.0,14.0,258.0,2020-04-17,
281,0.0,,0.13964686998394862,3600.0,19.0,139.0,2020-04-18,
353,0.0,,0.12877082395317424,2592.0,15.0,120.0,2020-04-19,
271,0.0,,0.08995137763371151,773.0,18.0,438.0,2020-04-20,
187,0.0,,0.10873239436619718,4520.0,20.0,464.0,2020-04-21,
269,0.0,,0.10599536270288175,7796.0,13.0,437.0,2020-04-22,
388,0.0,,0.11588132635253054,6406.0,17.0,506.0,2020-04-23,
444,0.0,,0.1066056245912361,4788.0,16.0,575.0,2020-04-24,
571,0.0,,0.08811475409836066,5298.0,21.0,254.0,2020-04-25,
207,0.0,,0.13023782559456398,2985.0,24.0,120.0,2020-04-26,
312,0.0,,0.1113481228668942,2134.0,15.0,559.0,2020-04-27,
426,0.0,,0.08023483365949119,3751.0,15.0,433.0,2020-04-28,
380,0.0,,0.09767441860465116,5318.0,19.0,436.0,2020-04-29,
561,0.0,,0.07359550561797752,6598.0,14.0,459.0,2020-04-30,
414,0.0,,0.07013757755597518,5490.0,17.0,450.0,2020-05-01,
586,0.0,,0.07779495105615662,5961.0,13.0,182.0,2020-05-02,
155,0.0,,0.06349734042553191,5202.0,19.0,172.0,2020-05-03,
184,0.0,,0.06507936507936508,2701.0,18.0,688.0,2020-05-04,
408,0.0,,0.07147628590514363,5972.0,25.0,551.0,2020-05-05,
502,0.0,,0.08093810615411744,9330.0,12.0,676.0,2020-05-06,
639,0.0,,0.08313066548750829,6871.0,19.0,605.0,2020-05-07,
471,0.0,,0.07286192068800765,7917.0,19.0,537.0,2020-05-08,
492,0.0,,0.08268367587999055,7457.0,11.0,212.0,2020-05-09,
404,0.0,,0.06491017964071856,5318.0,25.0,117.0,2020-05-10,
281,0.0,,0.041035120147874304,2741.0,14.0,769.0,2020-05-11,
301,0.0,,0.054431960049937576,6686.0,18.0,678.0,2020-05-12,
470,0.0,,0.07199739964245083,7919.0,14.0,714.0,2020-05-13,
691,0.0,,0.06704317726361815,9317.0,13.0,756.0,2020-05-14,
622,1.0,,0.06853637160385627,13923.0,8.0,705.0,2020-05-15,
853,0.0,,0.07097680955727337,10708.0,11.0,286.0,2020-05-16,
530,0.0,,0.06102635228848821,9508.0,15.0,193.0,2020-05-17,
511,0.0,,0.05594541910331384,8397.0,12.0,1058.0,2020-05-18,
677,0.0,,0.06293835363602805,8647.0,19.0,963.0,2020-05-19,
423,0.0,,0.07331579549353769,12313.0,15.0,839.0,2020-05-20,
738,0.0,,0.0828193832599119,10185.0,18.0,863.0,2020-05-21,
758,0.0,,0.0973386802770689,11829.0,20.0,745.0,2020-05-22,
1107,0.0,,0.08784313725490196,9046.0,21.0,340.0,2020-05-23,
497,0.0,,0.08189655172413793,7154.0,18.0,258.0,2020-05-24,
742,0.0,,0.0765868491068035,7748.0,32.0,370.0,2020-05-25,
176,2.0,,0.07064868336544637,3571.0,28.0,1365.0,2020-05-26,
488,1.0,,0.07666817291760808,11573.0,25.0,992.0,2020-05-27,
784,0.0,,0.09022214129643118,10116.0,19.0,1016.0,2020-05-28,
1076,0.0,,0.09870727432077125,16706.0,20.0,1113.0,2020-05-29,
1185,0.0,,0.08196721311475409,11978.0,19.0,443.0,2020-05-30,
916,0.0,,0.08109257094271442,13931.0,21.0,332.0,2020-05-31,
674,0.0,,0.07833705548874764,4552.0,17.0,1502.0,2020-06-01,
626,0.0,,0.07800956106040852,12313.0,20.0,1263.0,2020-06-02,
888,0.0,,0.08951558265582656,12966.0,19.0,1437.0,2020-06-03,
1190,1.0,,0.08625935367157306,18746.0,10.0,1344.0,2020-06-04,
1289,0.0,,0.09767784740140066,12921.0,21.0,1318.0,2020-06-05,
1370,0.0,,0.09373989871781058,15790.0,17.0,482.0,2020-06-06,
921,0.0,,0.08988110085640642,12929.0,13.0,433.0,2020-06-07,
938,0.0,,0.08696312035210199,9326.0,21.0,1652.0,2020-06-08,
676,0.0,,0.07623182552504039,15719.0,13.0,1546.0,2020-06-09,
1011,1.0,,0.08514559528197567,15356.0,12.0,1444.0,2020-06-10,
1310,1.0,,0.09860657377158477,19471.0,12.0,1428.0,2020-06-11,
1768,0.0,,0.09284818067754078,22126.0,12.0,1434.0,2020-06-12,
1429,2.0,,0.09134164804267897,16049.0,21.0,683.0,2020-06-13,
1444,1.0,,0.0824325318038091,13541.0,23.0,545.0,2020-06-14,
983,0.0,,0.09027181688125895,12694.0,8.0,1686.0,2020-06-15,
751,0.0,,0.08058138292187667,13726.0,9.0,1578.0,2020-06-16,
1002,1.0,,0.08251223272337288,17071.0,13.0,1709.0,2020-06-17,
1335,3.0,,0.0858430163623429,21412.0,15.0,1767.0,2020-06-18,
1655,5.0,,0.09649310763516891,24377.0,17.0,1612.0,2020-06-19,
1549,1.0,,0.09354626034722731,15400.0,12.0,757.0,2020-06-20,
1412,0.0,,0.08376608715285618,18129.0,19.0,699.0,2020-06-21,
805,3.0,,0.09069325735992402,11253.0,9.0,2026.0,2020-06-22,
854,9.0,,0.08275913165888717,15713.0,18.0,2086.0,2020-06-23,
1724,10.0,,0.07733264073761444,18527.0,12.0,1898.0,2020-06-24,
1024,8.0,,0.09654350417163289,21238.0,17.0,1955.0,2020-06-25,
1649,18.0,,0.09875682583943302,19149.0,15.0,1964.0,2020-06-26,
1720,0.0,,0.09511642761744382,20411.0,12.0,937.0,2020-06-27,
1605,1.0,,0.08184411199720588,17548.0,12.0,1045.0,2020-06-28,
1349,16.0,,0.08770240700218819,16374.0,17.0,2518.0,2020-06-29,
1196,13.0,,0.09576329603902646,18461.0,22.0,2314.0,2020-06-30,
1862,11.0,,0.0831899024670109,21911.0,11.0,2069.0,2020-07-01,
1639,13.0,,0.10487778615268654,21474.0,10.0,2027.0,2020-07-02,
2102,10.0,,0.09183673469387756,20409.0,12.0,1356.0,2020-07-03,
1419,8.0,,0.0895504543280727,16908.0,17.0,583.0,2020-07-04,
1330,3.0,,0.08426497580510596,18885.0,19.0,765.0,2020-07-05,
