OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1901,15,14872,Advance,"",1278.24098977945,12782.4098977945,1744189234.37061,355282.663136038,202110120740
2,27007,301,2,2136,Ararat,"",1409.17602996255,14091.7602996255,592499585.594238,195922.003442792,202110120740
3,27009,412,5,2937,Belews Creek,"",1402.79196458972,14027.9196458972,618093097.011353,191244.647442635,202110120740
4,27011,812,7,5411,Boonville,"",1500.6468305304,15006.468305304,1489580093.86462,316910.589814884,202110120740
5,27012,3873,59,28954,Clemmons,"",1337.63901360779,13376.3901360779,1176567385.86804,255774.303165276,202110120740
6,27013,1002,12,6495,Cleveland,"",1542.72517321016,15427.2517321016,2066336247.98627,379169.285246239,202110120740
7,27014,161,5,957,Cooleemee,"",1682.34064785789,16823.4064785789,21479098.032959,22299.1178929161,202110120740
8,27016,272,4,1682,Danbury,"",1617.12247324614,16171.2247324614,1068209590.0686,211061.413302457,202110120740
9,27017,1601,21,9499,Dobson,"",1685.44057269186,16854.4057269186,2962951682.04883,566348.974052304,202110120740
10,27018,1041,10,8221,East Bend,"",1266.26931030288,12662.6931030288,2331567909.96985,255811.974556888,202110120740
11,27019,497,2,4234,Germanton,"",1173.83089277279,11738.3089277279,977414017.819214,270248.259734795,202110120740
12,27020,1014,11,6104,Hamptonville,"",1661.20576671035,16612.0576671035,2114111622.36755,316969.486887135,202110120740
13,27021,2470,54,17979,King,"",1373.82501807665,13738.2501807665,1469376476.14172,210392.900707099,202110120740
14,27022,150,3,1512,Lawsonville,"",992.063492063492,9920.63492063492,918745327.278442,200803.000966771,202110120740
15,27023,1441,7,12775,Lewisville,"",1127.9843444227,11279.843444227,807172159.002075,183078.980128527,202110120740
16,27024,420,4,2683,Lowgap,"",1565.41185240403,15654.1185240403,1265827411.39758,278411.484773322,202110120740
17,27025,1403,32,11117,Madison,"",1262.03112350454,12620.3112350454,2714649364.33142,468723.596670606,202110120740
18,27027,467,19,4017,Mayodan,"",1162.55912372417,11625.5912372417,548179131.574585,172371.363079245,202110120740
19,27028,4143,47,28039,Mocksville,"",1477.58479261029,14775.8479261029,5475621774.30664,567238.136149725,202110120740
20,27030,6095,132,37641,Mount Airy,"",1619.24497223772,16192.4497223772,4824085732.75671,624989.724929863,202110120740
21,27040,1459,13,13150,Pfafftown,"",1109.50570342205,11095.0570342205,763349953.536133,205025.773716105,202110120740
22,27041,1131,10,8020,Pilot Mountain,"",1410.22443890274,14102.2443890274,1629462738.40637,324677.141569035,202110120740
23,27042,90,2,720,Pine Hall,"",1250,12500,290758639.069458,113971.243586081,202110120740
24,27043,820,9,6442,Pinnacle,"",1272.89661595778,12728.9661595778,1935795027.06067,395674.180712496,202110120740
25,27045,1394,12,9583,Rural Hall,"",1454.65929249713,14546.5929249713,666085549.25769,154538.589918543,202110120740
26,27046,226,2,1953,Sandy Ridge,"",1157.19406041987,11571.9406041987,1237681699.0647,217125.573744555,202110120740
27,27047,169,2,1279,Siloam,"",1321.34480062549,13213.4480062549,576295820.815674,144984.839113672,202110120740
28,27048,1019,12,8902,Stoneville,"",1144.68658728376,11446.8658728376,2355000804.03674,325454.766660313,202110120740
29,27050,513,6,4084,Tobaccoville,"",1256.12144955926,12561.2144955926,703876500.567505,219088.1792708,202110120740
30,27051,1079,10,8287,Walkertown,"",1302.0393387233,13020.393387233,524680317.775635,151066.808563308,202110120740
31,27052,1359,28,10061,Walnut Cove,"",1350.76036179306,13507.6036179306,2710320219.82117,403203.611044297,202110120740
32,27053,326,4,3156,Westfield,"",1032.95310519645,10329.5310519645,2152815477.55933,413464.446930882,202110120740
33,27054,461,5,2608,Woodleaf,"",1767.63803680982,17676.3803680982,778193820.583862,201172.963339102,202110120740
34,27055,2314,32,14521,Yadkinville,"",1593.55416293644,15935.5416293644,3115987965.39453,403366.49229781,202110120740
35,27101,2548,48,24321,Winston Salem,"",1047.65429053082,10476.5429053082,356085731.400146,162957.922513793,202110120740
36,27103,4265,48,36071,Winston Salem,"",1182.39028582518,11823.9028582518,527249856.672729,146399.561156354,202110120740
37,27104,3345,43,29383,Winston Salem,"",1138.41336827417,11384.1336827417,337669863.683838,130394.134288752,202110120740
38,27105,5707,55,40186,Winston Salem,"",1420.1463196138,14201.463196138,950547784.577881,208375.813794777,202110120740
39,27106,5789,66,51378,Winston Salem,"",1126.74685663124,11267.4685663124,787324720.967285,203893.681115083,202110120740
40,27107,7108,63,52432,Winston Salem,"",1355.6606652426,13556.606652426,1859279716.41162,319111.813640457,202110120740
41,27127,5424,31,38510,Winston Salem,"",1408.46533367956,14084.6533367956,820319160.873047,213438.375685158,202110120740
42,27157,51,0,5,Winston Salem,"",,,827769.094482422,4216.57245655308,202110120740
43,27203,3570,60,21876,Asheboro,"",1631.92539769611,16319.2539769611,589408161.410522,188062.356665824,202110120740
44,27205,5112,56,34549,Asheboro,"",1479.6376161394,14796.376161394,6255653514.79199,588011.232518038,202110120740
45,27207,456,2,3806,Bear Creek,"",1198.10825013137,11981.0825013137,2300194678.82397,473699.237818467,202110120740
46,27208,235,3,1691,Bennett,"",1389.71023063276,13897.1023063276,1029479783.1405,215638.108979383,202110120740
47,27209,874,43,4151,Biscoe,"",2105.5167429535,21055.1674295351,1198089302.20734,259108.004034657,202110120740
48,27212,418,1,1600,Blanch,"",2612.5,26125,1328181375.12305,277007.39975067,202110120740
49,27214,1509,16,11747,Browns Summit,"",1284.58329786328,12845.8329786328,1414533235.94788,324969.092830869,202110120740
50,27215,6375,82,44892,Burlington,"",1420.07484629778,14200.7484629778,1827823774.30115,298200.358945539,202110120740
51,27217,6861,110,39111,Burlington,"",1754.23793817596,17542.3793817596,3473433663.33496,513818.51476852,202110120740
52,27229,693,18,4014,Candor,"",1726.45739910314,17264.5739910314,2747739848.89313,367384.611313313,202110120740
53,27231,158,1,2048,Cedar Grove,"",771.484375,7714.84375,987771348.581177,209108.769362036,202110120740
54,27233,457,4,3647,Climax,"",1253.08472717302,12530.8472717302,703252829.253662,187154.002103638,202110120740
55,27235,583,13,4575,Colfax,"",1274.31693989071,12743.1693989071,380654027.583252,148521.339190303,202110120740
56,27239,1332,20,9629,Denton,"",1383.32121715651,13833.2121715651,4319759872.9696,429373.198159064,202110120740
57,27242,292,5,2668,Eagle Springs,"",1094.45277361319,10944.5277361319,1480408484.01825,321391.030328654,202110120740
58,27243,427,4,4665,Efland,"",915.326902465166,9153.26902465166,1142332751.10315,311755.144165646,202110120740
59,27244,2886,29,16259,Elon,"",1775.01691370933,17750.1691370933,1541989025.453,399696.340130384,202110120740
60,27248,633,6,4835,Franklinville,"",1309.20372285419,13092.0372285419,942909114.352783,215710.992817749,202110120740
61,27249,1738,19,13355,Gibsonville,"",1301.38524897042,13013.8524897042,1679803774.77087,397477.611919868,202110120740
62,27252,186,2,2264,Goldston,"",821.554770318021,8215.54770318021,1142470673.17163,220926.147155476,202110120740
63,27253,4980,61,31464,Graham,"",1582.76125095347,15827.6125095347,2351372927.78931,521476.969804177,202110120740
64,27258,978,8,7740,Haw River,"",1263.56589147287,12635.6589147287,473631125.268677,312686.877842211,202110120740
65,27260,3163,50,25696,High Point,"",1230.93088418431,12309.3088418431,348441568.963501,133229.878739789,202110120740
66,27262,2921,67,24764,High Point,"",1179.53480859312,11795.3480859312,368730084.700928,171087.864383377,202110120740
67,27263,2980,50,22320,High Point,"",1335.12544802867,13351.2544802867,1121512604.52234,249658.228757679,202110120740
68,27265,6111,68,50038,High Point,"",1221.27183340661,12212.7183340661,1172957282.41284,307481.490778656,202110120740
69,27268,337,0,1695,High Point,"",1988.2005899705,19882.005899705,2495618.64758301,8251.66869064816,202110120740
70,27278,2316,23,27181,Hillsborough,"",852.065781244252,8520.65781244252,2885765742.02771,502574.675043234,202110120740
71,27281,372,4,3710,Jackson Springs,"",1002.69541778976,10026.9541778976,2095606802.2608,479969.724586594,202110120740
72,27282,1906,27,16597,Jamestown,"",1148.40031330963,11484.0031330963,404066994.873657,168803.970950205,202110120740
73,27283,406,5,2982,Julian,"",1361.50234741784,13615.0234741784,711286368.914917,161239.518798817,202110120740
74,27284,7429,101,56201,Kernersville,"",1321.8626003096,13218.626003096,2233069317.10205,420748.080109325,202110120740
75,27288,2937,64,23585,Eden,"",1245.28301886792,12452.8301886792,1951079100.05676,304615.616752016,202110120740
76,27291,179,1,1538,Leasburg,"",1163.84915474642,11638.4915474642,1492904663.44434,314720.365319101,202110120740
77,27292,5971,61,41465,Lexington,"",1440.00964668998,14400.0964668998,4270233445.18579,407599.915340798,202110120740
78,27295,6091,77,39191,Lexington,"",1554.18335842413,15541.8335842413,3631502180.53174,466742.919509858,202110120740
79,27298,1340,13,10440,Liberty,"",1283.52490421456,12835.2490421456,2639148530.03284,431527.987760386,202110120740
80,27299,949,10,5254,Linwood,"",1806.24286258089,18062.4286258089,822543412.257813,203597.604040365,202110120740
81,27301,1492,22,10019,Mc Leansville,"",1489.17057590578,14891.7057590578,900133716.655151,287107.537324028,202110120740
82,27302,3867,26,32302,Mebane,"",1197.13949600644,11971.3949600644,3198656461.27478,644303.59427532,202110120740
83,27305,206,1,1585,Milton,"",1299.68454258675,12996.8454258675,687167820.539429,263836.485514183,202110120740
84,27306,988,21,5945,Mount Gilead,"",1661.9007569386,16619.007569386,5305900334.83325,426306.558627535,202110120740
85,27310,876,4,8562,Oak Ridge,"",1023.12543798178,10231.2543798178,526240082.103149,140986.043049622,202110120740
86,27311,440,5,3220,Pelham,"",1366.45962732919,13664.5962732919,1338371966.32642,293760.993606137,202110120740
87,27312,1414,26,22205,Pittsboro,"",636.793514974105,6367.93514974105,5005768374.64233,617961.777569282,202110120740
88,27313,812,26,7288,Pleasant Garden,"",1114.16026344676,11141.6026344676,760352714.59021,181619.740165306,202110120740
89,27314,111,1,1138,Prospect Hill,"",975.395430579965,9753.95430579965,773578280.842896,162162.976448062,202110120740
90,27315,198,1,2140,Providence,"",925.233644859813,9252.33644859813,697810511.310425,179457.95829655,202110120740
91,27316,983,17,7156,Ramseur,"",1373.67244270542,13736.7244270542,1975410509.03577,278228.393914438,202110120740
92,27317,2650,34,17851,Randleman,"",1484.51067167106,14845.1067167105,1700826686.43616,339539.515262609,202110120740
93,27320,4907,59,38894,Reidsville,"",1261.63418522137,12616.3418522137,6966725984.64832,658218.836963247,202110120740
94,27325,1081,13,7676,Robbins,"",1408.28556539865,14082.8556539865,2401051783.47894,409075.895347679,202110120740
95,27326,497,2,3692,Ruffin,"",1346.15384615385,13461.5384615385,1884156536.74561,359587.547530237,202110120740
96,27330,5988,65,39529,Sanford,"",1514.83720812568,15148.3720812568,6011213414.18433,528161.840140257,202110120740
97,27332,4482,37,33549,Sanford,"",1335.95636233569,13359.5636233569,2996782209.29614,417113.164836099,202110120740
98,27341,724,4,5820,Seagrove,"",1243.98625429553,12439.8625429553,2678433259.4787,311632.157547413,202110120740
99,27343,169,0,1840,Semora,"",918.478260869565,9184.78260869565,1390260353.39624,348769.311430722,202110120740
100,27344,2627,37,19290,Siler City,"",1361.8455158113,13618.455158113,4591228058.44531,607903.308882544,202110120740
101,27349,825,6,5850,Snow Camp,"",1410.25641025641,14102.5641025641,1831279532.651,381750.490582419,202110120740
102,27350,940,11,7508,Sophia,"",1251.9978689398,12519.978689398,1066449848.573,204602.636460839,202110120740
103,27355,341,2,3196,Staley,"",1066.95869837297,10669.5869837297,1016358702.6969,245160.332752788,202110120740
104,27356,468,8,3513,Star,"",1332.19470538002,13321.9470538002,1815293543.21783,348288.37985576,202110120740
105,27357,1223,21,8325,Stokesdale,"",1469.06906906907,14690.6906906907,1273124268.28796,223115.118835702,202110120740
106,27358,1531,8,15960,Summerfield,"",959.273182957393,9592.73182957394,1557557662.14905,323017.176053331,202110120740
107,27360,7193,92,48331,Thomasville,"",1488.27874449111,14882.7874449111,2458732404.91687,372395.85217249,202110120740
108,27370,2252,42,14622,Trinity,"",1540.14498700588,15401.4498700588,1663817222.16028,344702.900725307,202110120740
109,27371,1157,17,7778,Troy,"",1487.52892774492,14875.2892774492,4076136455.00793,473833.643450898,202110120740
