OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,4161,21,14872,Advance,"",2797.87520172136,27978.7520172136,1744189234.37061,355282.663136038,202209081840
2,27007,714,8,2136,Ararat,"",3342.69662921348,33426.9662921348,592499585.594238,195922.003442792,202209081840
3,27009,792,9,2937,Belews Creek,"",2696.62921348315,26966.2921348315,618093097.011353,191244.647442635,202209081840
4,27011,1891,19,5411,Boonville,"",3494.73295139531,34947.3295139531,1489580093.86462,316910.589814884,202209081840
5,27012,8789,87,28954,Clemmons,"",3035.50459349313,30355.0459349313,1176567385.86804,255774.303165276,202209081840
6,27013,1840,14,6495,Cleveland,"",2832.94842186297,28329.4842186297,2066336247.98627,379169.285246239,202209081840
7,27014,317,6,957,Cooleemee,"",3312.43469174504,33124.3469174504,21479098.032959,22299.1178929161,202209081840
8,27016,629,11,1682,Danbury,"",3739.59571938169,37395.9571938169,1068209590.0686,211061.413302457,202209081840
9,27017,3355,34,9499,Dobson,"",3531.95073165596,35319.5073165596,2962951682.04883,566348.974052303,202209081840
10,27018,2439,16,8221,East Bend,"",2966.79236102664,29667.9236102664,2331567909.96985,255811.974556888,202209081840
11,27019,1031,8,4234,Germanton,"",2435.04959848843,24350.4959848843,977414017.819214,270248.259734795,202209081840
12,27020,2088,15,6104,Hamptonville,"",3420.70773263434,34207.0773263434,2114111622.36755,316969.486887135,202209081840
13,27021,5706,92,17979,King,"",3173.70265309528,31737.0265309528,1469376476.14172,210392.900707099,202209081840
14,27022,369,4,1512,Lawsonville,"",2440.47619047619,24404.7619047619,918745327.278442,200803.000966771,202209081840
15,27023,3526,16,12775,Lewisville,"",2760.0782778865,27600.782778865,807172159.002075,183078.980128526,202209081840
16,27024,865,7,2683,Lowgap,"",3224.00298173686,32240.0298173686,1265827411.39758,278411.484773322,202209081840
17,27025,2895,51,11117,Madison,"",2604.11981649726,26041.1981649726,2714649364.33142,468723.596670607,202209081840
18,27027,1050,23,4017,Mayodan,"",2613.89096340553,26138.9096340553,548179131.574585,172371.363079245,202209081840
19,27028,8556,86,28039,Mocksville,"",3051.46403224081,30514.6403224081,5475621774.30664,567238.136149726,202209081840
20,27030,12851,219,37641,Mount Airy,"",3414.09633112829,34140.9633112829,4824085732.75671,624989.724929864,202209081840
21,27040,3420,21,13150,Pfafftown,"",2600.76045627376,26007.6045627376,763349953.536133,205025.773716105,202209081840
22,27041,2437,31,8020,Pilot Mountain,"",3038.65336658354,30386.5336658354,1629462738.40637,324677.141569035,202209081840
23,27042,189,3,720,Pine Hall,"",2625,26250,290758639.069458,113971.243586081,202209081840
24,27043,1882,16,6442,Pinnacle,"",2921.45296491773,29214.5296491773,1935795027.06067,395674.180712495,202209081840
