OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1827,14,14872,Advance,"",1228.48305540613,12284.8305540613,1744189234.37061,355282.663136038,202109300940
2,27007,289,1,2136,Ararat,"",1352.99625468165,13529.9625468165,592499585.594238,195922.003442792,202109300940
3,27009,401,4,2937,Belews Creek,"",1365.33878106912,13653.3878106912,618093097.011353,191244.647442635,202109300940
4,27011,782,7,5411,Boonville,"",1445.20421363888,14452.0421363888,1489580093.86462,316910.589814884,202109300940
5,27012,3784,56,28954,Clemmons,"",1306.90060095324,13069.0060095324,1176567385.86804,255774.303165276,202109300940
6,27013,979,12,6495,Cleveland,"",1507.31331793687,15073.1331793687,2066336247.98627,379169.285246239,202109300940
7,27014,152,5,957,Cooleemee,"",1588.29676071055,15882.9676071055,21479098.032959,22299.1178929161,202109300940
8,27016,250,4,1682,Danbury,"",1486.32580261593,14863.2580261593,1068209590.0686,211061.413302457,202109300940
9,27017,1552,20,9499,Dobson,"",1633.85619538899,16338.5619538899,2962951682.04883,566348.974052304,202109300940
10,27018,1003,9,8221,East Bend,"",1220.04622308722,12200.4622308722,2331567909.96985,255811.974556888,202109300940
11,27019,477,1,4234,Germanton,"",1126.59423712801,11265.9423712801,977414017.819214,270248.259734795,202109300940
12,27020,984,10,6104,Hamptonville,"",1612.05766710354,16120.5766710354,2114111622.36755,316969.486887135,202109300940
13,27021,2415,53,17979,King,"",1343.23377273486,13432.3377273486,1469376476.14172,210392.900707099,202109300940
14,27022,140,3,1512,Lawsonville,"",925.925925925926,9259.25925925926,918745327.278442,200803.000966771,202109300940
15,27023,1401,6,12775,Lewisville,"",1096.67318982387,10966.7318982387,807172159.002075,183078.980128527,202109300940
16,27024,411,4,2683,Lowgap,"",1531.86731270965,15318.6731270965,1265827411.39758,278411.484773322,202109300940
17,27025,1342,32,11117,Madison,"",1207.1602050913,12071.602050913,2714649364.33142,468723.596670606,202109300940
18,27027,454,19,4017,Mayodan,"",1130.19666417725,11301.9666417725,548179131.574585,172371.363079245,202109300940
19,27028,3917,44,28039,Mocksville,"",1396.98277399337,13969.8277399337,5475621774.30664,567238.136149725,202109300940
20,27030,5847,131,37641,Mount Airy,"",1553.35936877341,15533.5936877341,4824085732.75671,624989.724929863,202109300940
21,27040,1409,13,13150,Pfafftown,"",1071.48288973384,10714.8288973384,763349953.536133,205025.773716105,202109300940
22,27041,1060,9,8020,Pilot Mountain,"",1321.6957605985,13216.957605985,1629462738.40637,324677.141569035,202109300940
23,27042,88,2,720,Pine Hall,"",1222.22222222222,12222.2222222222,290758639.069458,113971.243586081,202109300940
24,27043,760,9,6442,Pinnacle,"",1179.75783918038,11797.5783918038,1935795027.06067,395674.180712496,202109300940
25,27045,1354,11,9583,Rural Hall,"",1412.91871021601,14129.1871021601,666085549.25769,154538.589918543,202109300940
26,27046,209,2,1953,Sandy Ridge,"",1070.14848950333,10701.4848950333,1237681699.0647,217125.573744555,202109300940
27,27047,161,2,1279,Siloam,"",1258.79593432369,12587.9593432369,576295820.815674,144984.839113672,202109300940
28,27048,982,12,8902,Stoneville,"",1103.12289373175,11031.2289373175,2355000804.03674,325454.766660313,202109300940
29,27050,492,5,4084,Tobaccoville,"",1204.70127326151,12047.0127326151,703876500.567505,219088.1792708,202109300940
30,27051,1034,8,8287,Walkertown,"",1247.73742005551,12477.3742005551,524680317.775635,151066.808563308,202109300940
31,27052,1324,26,10061,Walnut Cove,"",1315.97256733923,13159.7256733923,2710320219.82117,403203.611044297,202109300940
32,27053,298,3,3156,Westfield,"",944.233206590621,9442.33206590621,2152815477.55933,413464.446930882,202109300940
33,27054,443,5,2608,Woodleaf,"",1698.61963190184,16986.1963190184,778193820.583862,201172.963339102,202109300940
34,27055,2257,32,14521,Yadkinville,"",1554.30066799807,15543.0066799807,3115987965.39453,403366.49229781,202109300940
35,27101,2479,45,24321,Winston Salem,"",1019.28374655647,10192.8374655647,356085731.400146,162957.922513793,202109300940
36,27103,4114,47,36071,Winston Salem,"",1140.52840231765,11405.2840231765,527249856.672729,146399.561156354,202109300940
37,27104,3271,41,29383,Winston Salem,"",1113.22873770548,11132.2873770548,337669863.683838,130394.134288752,202109300940
38,27105,5512,52,40186,Winston Salem,"",1371.62195789578,13716.2195789578,950547784.577881,208375.813794777,202109300940
